[2017-05-24 13:50:40][debug] wxpayorder back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"10","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"0EDMVfL56JnevQSliqXdP9ZMbvD7Iqyp","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"330548949016842002","result_code":"SUCCESS","return_code":"SUCCESS","sign":"1DD903AF9B1D3D986775C49105A52A4D","time_end":"20170524135039","total_fee":"10","trade_type":"APP","transaction_id":"4008672001201705242349158866"}
[2017-05-24 16:59:25][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"hj4kZuEV6gm48pb3wPDG0oJJChcgiOIF","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"690548960351350000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"17E74A5F5C852C1EFF2D1EFCE0F5C7A3","time_end":"20170524165924","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371686358"}
[2017-05-24 16:59:34][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"hj4kZuEV6gm48pb3wPDG0oJJChcgiOIF","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"690548960351350000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"17E74A5F5C852C1EFF2D1EFCE0F5C7A3","time_end":"20170524165924","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371686358"}
[2017-05-24 16:59:51][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"hj4kZuEV6gm48pb3wPDG0oJJChcgiOIF","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"690548960351350000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"17E74A5F5C852C1EFF2D1EFCE0F5C7A3","time_end":"20170524165924","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371686358"}
[2017-05-24 17:00:23][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"hj4kZuEV6gm48pb3wPDG0oJJChcgiOIF","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"690548960351350000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"17E74A5F5C852C1EFF2D1EFCE0F5C7A3","time_end":"20170524165924","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371686358"}
[2017-05-24 17:02:00][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"Z0Mtp4WxlvPIrRXT3qkp4UOwCP59PFtq","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"370548960510444000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"BDBFBD3EEBF69BA3FF1A01C85B1D22E7","time_end":"20170524170157","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371757568"}
[2017-05-24 17:02:18][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"Z0Mtp4WxlvPIrRXT3qkp4UOwCP59PFtq","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"370548960510444000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"BDBFBD3EEBF69BA3FF1A01C85B1D22E7","time_end":"20170524170157","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371757568"}
[2017-05-24 17:02:35][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"Z0Mtp4WxlvPIrRXT3qkp4UOwCP59PFtq","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"370548960510444000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"BDBFBD3EEBF69BA3FF1A01C85B1D22E7","time_end":"20170524170157","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371757568"}
[2017-05-24 17:03:08][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"Z0Mtp4WxlvPIrRXT3qkp4UOwCP59PFtq","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"370548960510444000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"BDBFBD3EEBF69BA3FF1A01C85B1D22E7","time_end":"20170524170157","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371757568"}
[2017-05-24 17:03:28][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"hj4kZuEV6gm48pb3wPDG0oJJChcgiOIF","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"690548960351350000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"17E74A5F5C852C1EFF2D1EFCE0F5C7A3","time_end":"20170524165924","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371686358"}
[2017-05-24 17:06:07][debug] wxpaywater back:{"appid":"wx1cec702c7ee56a77","attach":"appwxpay","bank_type":"CFT","cash_fee":"100","fee_type":"CNY","is_subscribe":"N","mch_id":"1388299902","nonce_str":"Z0Mtp4WxlvPIrRXT3qkp4UOwCP59PFtq","openid":"obA4zwNh95FzjQ0ipWp1Q3bi0jEg","out_trade_no":"370548960510444000","result_code":"SUCCESS","return_code":"SUCCESS","sign":"BDBFBD3EEBF69BA3FF1A01C85B1D22E7","time_end":"20170524170157","total_fee":"100","trade_type":"APP","transaction_id":"4008672001201705242371757568"}
